jobId,CaVRating,company,similarBLSJob,title,city,nextJobOne,state,WLBRating,CORating,CaBRating,SLRating,nextJobTwo,similarBLSSalary,id,numJobs
9258,4.1,Apple,Computer Systems Analysts,Apple Solutions Consultant,New York,,NY,3.3,3.4,4.1,3.5,,90180,44,8
705964,4.1,Apple,Computer Systems Analysts,Sales Research Analyst,New York,,NY,3.3,3.4,4.1,3.5,,90180,57,4
921096,4.1,Apple,"Computer Occupations, All Other",Enterprise Operations Analyst,New York,,NY,3.3,3.4,4.1,3.5,,87310,61,3
130650,4.1,Apple,Computer Programmers,Mobile Producer,New York,,NY,3.3,3.4,4.1,3.5,,84360,55,4
586800,4.1,Apple,Fashion Designers,Packaging Testing Engineer,Santa Clara,,CA,3.3,3.4,4.1,3.5,,73180,19,5
190122,4.1,Apple,Web Developers,IOS Developer,New York,mobile developer,NY,3.3,3.4,4.1,3.5,software developer,70660,46,7
1044465,4.1,Apple,Computer Network Support Specialists,Mac Desktop Support,New York,,NY,3.3,3.4,4.1,3.5,,67260,53,4
10274,4.1,Apple,Training and Development Specialists,Inventory Specialist,New York,administrative assistant,NY,3.3,3.4,4.1,3.5,intern,62460,40,17
605825,4.1,Apple,Training and Development Specialists,Apple Business Specialist,New York,,NY,3.3,3.4,4.1,3.5,,62460,41,17
583441,4.1,Apple,Interior Designers,Integration Design Engineer,Santa Clara,,CA,3.3,3.4,4.1,3.5,,55510,21,5
66972,4.1,Apple,Interior Designers,Apple Genius,New York,,NY,3.3,3.4,4.1,3.5,,55510,43,17
9259,4.1,Apple,Computer User Support Specialists,Apple Specialist,Santa Clara,,CA,3.3,3.4,4.1,3.5,,52430,20,5
62619,4.1,Apple,Computer User Support Specialists,Business Specialist,Santa Clara,project manager,CA,3.3,3.4,4.1,3.5,business development manager,52430,22,5
30663,4.1,Apple,Computer User Support Specialists,Specialist,Santa Clara,analyst,CA,3.3,3.4,4.1,3.5,senior analyst,52430,27,5
35961,4.1,Apple,Computer User Support Specialists,Service Specialist,New York,customer service representative,NY,3.3,3.4,4.1,3.5,customer service rep,52430,31,22
